Month,Variable,median,lower_centile,upper_centile,Units,low_cent_value,upp_cent_value,Comments
Jan,surface_nitrate,NA,NA,NA,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_0_30m_2003-2013_not_yet_extracted
Feb,surface_nitrate,NA,NA,NA,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_0_30m_2003-2013_not_yet_extracted
Mar,surface_nitrate,NA,NA,NA,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_0_30m_2003-2013_not_yet_extracted
Apr,surface_nitrate,NA,NA,NA,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_0_30m_2003-2013_not_yet_extracted
May,surface_nitrate,NA,NA,NA,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_0_30m_2003-2013_not_yet_extracted
Jun,surface_nitrate,NA,NA,NA,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_0_30m_2003-2013_not_yet_extracted
Jul,surface_nitrate,NA,NA,NA,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_0_30m_2003-2013_not_yet_extracted
Aug,surface_nitrate,NA,NA,NA,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_0_30m_2003-2013_not_yet_extracted
Sep,surface_nitrate,NA,NA,NA,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_0_30m_2003-2013_not_yet_extracted
Oct,surface_nitrate,NA,NA,NA,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_0_30m_2003-2013_not_yet_extracted
Nov,surface_nitrate,NA,NA,NA,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_0_30m_2003-2013_not_yet_extracted
Dec,surface_nitrate,NA,NA,NA,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_0_30m_2003-2013_not_yet_extracted
Jan,deep_nitrate,NA,NA,NA,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_30-seabed_2003-2013_not_yet_extracted
Feb,deep_nitrate,NA,NA,NA,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_30-seabed_2003-2013_not_yet_extracted
Mar,deep_nitrate,NA,NA,NA,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_30-seabed_2003-2013_not_yet_extracted
Apr,deep_nitrate,NA,NA,NA,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_30-seabed_2003-2013_not_yet_extracted
May,deep_nitrate,NA,NA,NA,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_30-seabed_2003-2013_not_yet_extracted
Jun,deep_nitrate,NA,NA,NA,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_30-seabed_2003-2013_not_yet_extracted
Jul,deep_nitrate,NA,NA,NA,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_30-seabed_2003-2013_not_yet_extracted
Aug,deep_nitrate,NA,NA,NA,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_30-seabed_2003-2013_not_yet_extracted
Sep,deep_nitrate,NA,NA,NA,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_30-seabed_2003-2013_not_yet_extracted
Oct,deep_nitrate,NA,NA,NA,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_30-seabed_2003-2013_not_yet_extracted
Nov,deep_nitrate,NA,NA,NA,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_30-seabed_2003-2013_not_yet_extracted
Dec,deep_nitrate,NA,NA,NA,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_30-seabed_2003-2013_not_yet_extracted
Jan,surface_ammonia,NA,NA,NA,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_0_30m_2003-2013_not_yet_extracted
Feb,surface_ammonia,NA,NA,NA,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_0_30m_2003-2013_not_yet_extracted
Mar,surface_ammonia,NA,NA,NA,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_0_30m_2003-2013_not_yet_extracted
Apr,surface_ammonia,NA,NA,NA,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_0_30m_2003-2013_not_yet_extracted
May,surface_ammonia,NA,NA,NA,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_0_30m_2003-2013_not_yet_extracted
Jun,surface_ammonia,NA,NA,NA,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_0_30m_2003-2013_not_yet_extracted
Jul,surface_ammonia,NA,NA,NA,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_0_30m_2003-2013_not_yet_extracted
Aug,surface_ammonia,NA,NA,NA,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_0_30m_2003-2013_not_yet_extracted
Sep,surface_ammonia,NA,NA,NA,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_0_30m_2003-2013_not_yet_extracted
Oct,surface_ammonia,NA,NA,NA,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_0_30m_2003-2013_not_yet_extracted
Nov,surface_ammonia,NA,NA,NA,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_0_30m_2003-2013_not_yet_extracted
Dec,surface_ammonia,NA,NA,NA,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_0_30m_2003-2013_not_yet_extracted
Jan,deep_ammonia,NA,NA,NA,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_30-seabed_2003-2013_not_yet_extracted
Feb,deep_ammonia,NA,NA,NA,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_30-seabed_2003-2013_not_yet_extracted
Mar,deep_ammonia,NA,NA,NA,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_30-seabed_2003-2013_not_yet_extracted
Apr,deep_ammonia,NA,NA,NA,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_30-seabed_2003-2013_not_yet_extracted
May,deep_ammonia,NA,NA,NA,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_30-seabed_2003-2013_not_yet_extracted
Jun,deep_ammonia,NA,NA,NA,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_30-seabed_2003-2013_not_yet_extracted
Jul,deep_ammonia,NA,NA,NA,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_30-seabed_2003-2013_not_yet_extracted
Aug,deep_ammonia,NA,NA,NA,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_30-seabed_2003-2013_not_yet_extracted
Sep,deep_ammonia,NA,NA,NA,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_30-seabed_2003-2013_not_yet_extracted
Oct,deep_ammonia,NA,NA,NA,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_30-seabed_2003-2013_not_yet_extracted
Nov,deep_ammonia,NA,NA,NA,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_30-seabed_2003-2013_not_yet_extracted
Dec,deep_ammonia,NA,NA,NA,mMNm3,17,83,ICES_hydrochemical_database_North_Sea_30-seabed_2003-2013_not_yet_extracted
Jan,surface_chlorophyll,NA,NA,NA,mgm3,5,95,ICES_hydrochemical_database_North_Sea_0_30m_2003-2013_not_yet_extracted
Feb,surface_chlorophyll,NA,NA,NA,mgm3,5,95,ICES_hydrochemical_database_North_Sea_0_30m_2003-2013_not_yet_extracted
Mar,surface_chlorophyll,NA,NA,NA,mgm3,5,95,ICES_hydrochemical_database_North_Sea_0_30m_2003-2013_not_yet_extracted
Apr,surface_chlorophyll,NA,NA,NA,mgm3,5,95,ICES_hydrochemical_database_North_Sea_0_30m_2003-2013_not_yet_extracted
May,surface_chlorophyll,NA,NA,NA,mgm3,5,95,ICES_hydrochemical_database_North_Sea_0_30m_2003-2013_not_yet_extracted
Jun,surface_chlorophyll,NA,NA,NA,mgm3,5,95,ICES_hydrochemical_database_North_Sea_0_30m_2003-2013_not_yet_extracted
Jul,surface_chlorophyll,NA,NA,NA,mgm3,5,95,ICES_hydrochemical_database_North_Sea_0_30m_2003-2013_not_yet_extracted
Aug,surface_chlorophyll,NA,NA,NA,mgm3,5,95,ICES_hydrochemical_database_North_Sea_0_30m_2003-2013_not_yet_extracted
Sep,surface_chlorophyll,NA,NA,NA,mgm3,5,95,ICES_hydrochemical_database_North_Sea_0_30m_2003-2013_not_yet_extracted
Oct,surface_chlorophyll,NA,NA,NA,mgm3,5,95,ICES_hydrochemical_database_North_Sea_0_30m_2003-2013_not_yet_extracted
Nov,surface_chlorophyll,NA,NA,NA,mgm3,5,95,ICES_hydrochemical_database_North_Sea_0_30m_2003-2013_not_yet_extracted
Dec,surface_chlorophyll,NA,NA,NA,mgm3,5,95,ICES_hydrochemical_database_North_Sea_0_30m_2003-2013_not_yet_extracted
Jan,omniv_zooplankton,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_2003-2013_not_yet_extracted
Feb,omniv_zooplankton,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_2003-2013_not_yet_extracted
Mar,omniv_zooplankton,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_2003-2013_not_yet_extracted
Apr,omniv_zooplankton,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_2003-2013_not_yet_extracted
May,omniv_zooplankton,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_2003-2013_not_yet_extracted
Jun,omniv_zooplankton,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_2003-2013_not_yet_extracted
Jul,omniv_zooplankton,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_2003-2013_not_yet_extracted
Aug,omniv_zooplankton,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_2003-2013_not_yet_extracted
Sep,omniv_zooplankton,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_2003-2013_not_yet_extracted
Oct,omniv_zooplankton,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_2003-2013_not_yet_extracted
Nov,omniv_zooplankton,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_2003-2013_not_yet_extracted
Dec,omniv_zooplankton,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_2003-2013_not_yet_extracted
Jan,carniv_zooplankton,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_2003-2013_not_yet_extracted
Feb,carniv_zooplankton,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_2003-2013_not_yet_extracted
Mar,carniv_zooplankton,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_2003-2013_not_yet_extracted
Apr,carniv_zooplankton,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_2003-2013_not_yet_extracted
May,carniv_zooplankton,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_2003-2013_not_yet_extracted
Jun,carniv_zooplankton,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_2003-2013_not_yet_extracted
Jul,carniv_zooplankton,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_2003-2013_not_yet_extracted
Aug,carniv_zooplankton,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_2003-2013_not_yet_extracted
Sep,carniv_zooplankton,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_2003-2013_not_yet_extracted
Oct,carniv_zooplankton,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_2003-2013_not_yet_extracted
Nov,carniv_zooplankton,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_2003-2013_not_yet_extracted
Dec,carniv_zooplankton,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_2003-2013_not_yet_extracted
Jan,larvae_susp_dep_benthos,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_2003-2013_not_yet_extracted
Feb,larvae_susp_dep_benthos,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_2003-2013_not_yet_extracted
Mar,larvae_susp_dep_benthos,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_2003-2013_not_yet_extracted
Apr,larvae_susp_dep_benthos,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_2003-2013_not_yet_extracted
May,larvae_susp_dep_benthos,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_2003-2013_not_yet_extracted
Jun,larvae_susp_dep_benthos,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_2003-2013_not_yet_extracted
Jul,larvae_susp_dep_benthos,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_2003-2013_not_yet_extracted
Aug,larvae_susp_dep_benthos,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_2003-2013_not_yet_extracted
Sep,larvae_susp_dep_benthos,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_2003-2013_not_yet_extracted
Oct,larvae_susp_dep_benthos,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_2003-2013_not_yet_extracted
Nov,larvae_susp_dep_benthos,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_2003-2013_not_yet_extracted
Dec,larvae_susp_dep_benthos,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_2003-2013_not_yet_extracted
Jan,larvae_carn_scav_benthos,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_2003-2013_not_yet_extracted
Feb,larvae_carn_scav_benthos,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_2003-2013_not_yet_extracted
Mar,larvae_carn_scav_benthos,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_2003-2013_not_yet_extracted
Apr,larvae_carn_scav_benthos,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_2003-2013_not_yet_extracted
May,larvae_carn_scav_benthos,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_2003-2013_not_yet_extracted
Jun,larvae_carn_scav_benthos,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_2003-2013_not_yet_extracted
Jul,larvae_carn_scav_benthos,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_2003-2013_not_yet_extracted
Aug,larvae_carn_scav_benthos,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_2003-2013_not_yet_extracted
Sep,larvae_carn_scav_benthos,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_2003-2013_not_yet_extracted
Oct,larvae_carn_scav_benthos,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_2003-2013_not_yet_extracted
Nov,larvae_carn_scav_benthos,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_2003-2013_not_yet_extracted
Dec,larvae_carn_scav_benthos,NA,NA,NA,mMNm3,17,83,SAHFOS_CPR_data_North_Sea_2003-2013_not_yet_extracted
