Annual_measure,SD_of_measure,Use1_0,Name,Units,Description
1522,150.94,1,Obs_TAPP,mMN/m2/y,Annual_total_primary_production
687.2,67.396,1,Obs_NP,mMN/m2/y,Annual_new_production_from_depth_integrated_nitrate
600,100,1,Obs_KelpP,gC/m2/y,Annual_WITHIN_FOREST_NET_production_of_kelp
339.6,25.157,1,Obs_OmnizooP,mMN/m2/y,Annual_mesozooplankton_gross_production
44.35,2.5157,0,Obs_CarnzooP,mMN/m2/y,Annual_carnivorous_zooplankton_gross_production
29.97,3.509,0,Obs_PFishP,mMN/m2/y,Annual_pelagic_fish_gross_production
11.5,2.277,0,Obs_DFishP,mMN/m2/y,Annual_demersal_fish_gross_production
1248,449,0,Obs_BensuspP,mMN/m2/y,Annual_filt/dep_benthos_gross_production
21.1,7.6,0,Obs_BencarnP,mMN/m2/y,Annual_carn/scan_benthos_gross_production
0.00097076,0.0002,0,Obs_birdP,mMN/m2/y,Annual_net_production_of_birds
0.001357,0.00035,0,Obs_sealP,mMN/m2/y,Annual_net_production_of_seals
0.00175532,0.0008,0,Obs_cetaP,mMN/m2/y,Annual_net_production_of_cetaceans
1.185,0.4421,0,Obs_maxbenthslar,mMN/m3,Annual_monthly_max_conc_of_benthos_filt/dep_larvae
0.334,0.1013,0,Obs_maxbenthclar,mMN/m3,Annual_monthly_max_conc_of_benthos_carn/scav_larvae
23.48,9.057,0,Obs_Conpfishfish,mMN/m2/y,Annual_consumption_of_pelagic_fish_by_fish
2.138,0.503,0,Obs_Condfishfish,mMN/m2/y,Annual_consumption_of_demersal_fish_by_fish
92.28,13.019,0,Obs_Conzoofish,mMN/m2/y,Annual_consumption_of_mesozooplankton_by_fish_and_fish_larvae
60.377,25.157,0,Obs_Conzoocarnz,mMN/m2/y,Annual_consumption_of_mesozooplankton_by_carn_zooplankton
12.579,6.289,0,Obs_Conbenfish,mMN/m2/y,Annual_consumption_of_benthos_by_fish
0.6538,0.325,0,Obs_Contotal_bird,mMN/m2/y,Annual_food_consumption_by_birds
0.6,0.2,0,Obs_Proppfishbird,dimensionless,Proportion_pelagic_fish_in_diet_of_birds
0.1,0.05,0,Obs_Propdfishbird,dimensionless,Proportion_demersal_fish_in_diet_of_birds
0.05,0.015,0,Obs_Propmfishbird,dimensionless,Proportion_migratory_fish_in_diet_of_birds
0.05,0.02,0,Obs_Propdiscbird,dimensionless,Proportion_discards_in_diet_of_birds
0.216086541,0.105,0,Obs_Contotal_seal,mMN/m2/y,Annual_food_consumption_by_seals
0.291037261,0.072759315,0,Obs_Proppfishseal,dimensionless,Proportion_pelagic_fish_in_diet_of_seals
0.696878147,0.174219537,0,Obs_Propdfishseal,dimensionless,Proportion_demersal_fish_in_diet_of_seals
0.012084592,0.003021148,0,Obs_Propmfishseal,dimensionless,Proportion_migratory_fish_in_diet_of_seals
0.969066667,0.48,0,Obs_Contotal_ceta,mMN/m2/y,Annual_food_consumption_by_cetaceans
0.663144324,0.165786081,0,Obs_Proppfishceta,dimensionless,Proportion_pelagic_fish_in_diet_of_cetaceans
0.099504206,0.04,0,Obs_Propdfishceta,dimensionless,Proportion_demersal_fish_in_diet_of_cetaceans
0.08013619,0.035,0,Obs_Propmfishceta,dimensionless,Proportion_migratory_fish_in_diet_of_cetaceans
2.928,0.6,1,Obs_Pland_livewt,mMN/m2/y,Annual_pelagic_fish_landings_(live_weight)
0.6408,0.3,1,Obs_Dland_livewt,mMN/m2/y,Annual_demersal_fish_landings_(live_weight)
0.9925,0.25,1,Obs_Mland_livewt,mMN/m2/y,Annual_migratory_fish_landings_(live_weight)
0.07444,0.028,1,Obs_Bsland_livewt,mMN/m2/y,Annual_filt/dep_benthos_landings_(live_weight)
0.12801,0.05,1,Obs_Bcland_livewt,mMN/m2/y,Annual_carn/scav_benthos_landings_(live_weight)
0.006976,0.004,1,Obs_Zcland_livewt,mMN/m2/y,Annual_carn_zooplankton_landings_(live_weight)
0,0,0,Obs_Kland_livewt,mMN/m2/y,Annual_kelp_landings_(live_weight)
2,0.5,1,Obs_kelp_pb,/y,Annual_CARBON_gross_PB_ratio_of_kelp
10,5,1,Obs_benslar_pb,/y,Annual_gross_PB_ratio_larvae_of_filt/dep_benthos
10,5,1,Obs_benclar_pb,/y,Annual_gross_PB_ratio_larvae_of_carn/scav_benthos
10,3,1,Obs_bens_pb,/y,Annual_gross_PB_ratio_benthos_filter/deposit_feeders
1.2,1,1,Obs_benc_pb,/y,Annual_gross_PB_ratio_benthos_carn/scavengers
20,10,1,Obs_herb_pb,/y,Annual_gross_PB_ratio_mesozooplankton
5,1.315,1,Obs_carn_pb,/y,Annual_gross_PB_ratio_carniv_zooplankton
4,2,1,Obs_fishplar_pb,/y,Annual_gross_PB_ratio_larvae_of_pelagic_fish
4,2,1,Obs_fishdlar_pb,/y,Annual_gross_PB_ratio_larvae_of_demersal_fish
1.72,0.86,1,Obs_fishp_pb,/y,Annual_gross_PB_ratio_pelagic_fish
0.88,0.44,1,Obs_fishd_pb,/y,Annual_gross_PB_ratio_demersal_fish
1.3,0.6,1,Obs_fishm_pb,/y,Annual_gross_PB_ratio_migratory_fish
0.28,0.14,1,Obs_bird_pb,/y,Annual_net_PB_ratio_birds
0.09,0.045,1,Obs_seal_pb,/y,Annual_net_PB_ratio_seals
0.02,0.01,1,Obs_ceta_pb,/y,Annual_net_PB_ratio_cetaceans
0.3,0.1,1,Obs_exud_C_kelp,dimensionless,Annual_average_proportion_of_kelp_C_uptake_which_is_exuded
0.12,0.2,1,Obs_kelp_NC,dimensionless,Annual_average_molar_NC_ratio_of_kelp
129,42,1,Obs_Denitrif,mMN/m2/y,Annual_denitrification
0.51,0.1,1,Obs_Dfdiscardp,dimensionless,Proportion_of_demersal_fish_catch_discarded
19.24,9,1,Obs_s_x_ammonia,mMN/m3,Annual_average_ammonia_conc_in_porewater_of_sand_gs_0.25mm
63.45,22,1,Obs_d_x_ammonia,mMN/m3,Annual_average_ammonia_conc_in_porewater_of_mud_gs_0.12mm
4.15,2,1,Obs_s_x_nitrate,mMN/m3,Annual_average_nitrate_conc_in_porewater_of_sand_gs_0.25mm
2.34,1,1,Obs_d_x_nitrate,mMN/m3,Annual_average_nitrate_conc_in_porewater_of_mud_gs_0.12mm
0.051515,0.02441,1,Obs_s_x_TON,%N(gN/g_dry_sed),Annual_average_organic_N_content_of_sand_gs_0.25mm_(0.19-0.43mm)
0.07357,0.0343,1,Obs_d_x_TON,%N(gN/g_dry_sed),Annual_average_organic_N_content_of_mud_gs_0.12mm_(0.03-0.07mm)
9.998,2.135,0,Obs_NDJF_s_nitrate,mMN/m3,Average_winter_(Nov-Feb)_nitrate_conc_shallow_layer
2.161,1.089,0,Obs_MJJA_s_nitrate,mMN/m3,Average_summer_(May-Aug)_nitrate_conc_shallow_layer
6.995,0.836,0,Obs_NDJF_d_nitrate,mMN/m3,Average_winter_(Nov-Feb)_nitrate_conc_deep_layer
2.837,0.917,0,Obs_MJJA_d_nitrate,mMN/m3,Average_summer_(May-Aug)_nitrate_conc_deep_layer
2.367,0.774,0,Obs_NDJF_s_ammonia,mMN/m3,Average_winter_(Nov-Feb)_ammonia_conc_shallow_layer
1.737,0.669,0,Obs_MJJA_s_ammonia,mMN/m3,Average_summer_(May-Aug)_ammonia_conc_shallow_layer
0.853,0.32,0,Obs_NDJF_d_ammonia,mMN/m3,Average_winter_(Nov-Feb)_ammonia_conc_deep_layer
1.338,0.708,0,Obs_MJJA_d_ammonia,mMN/m3,Average_summer_(May-Aug)_ammonia_conc_deep_layer
0.904054817,0.2,1,Obs_carn_io_ratio,dimensionless,Inshore_offshore_ratio_of_annual_mean_carnzoo_depth_av_conc
1.675726526,0.271539031,1,Obs_herb_io_ratio,dimensionless,Inshore_offshore_ratio_of_annual_mean_herb_depth_av_conc
3.744402563,1,1,Obs_phyt_io_ratio,dimensionless,Inshore_offshore_ratio_of_annual_mean_phyt_surface_layer_conc
3.000139235,1,1,Obs_nit_io_ratio,dimensionless,Inshore_offshore_ratio_of_annual_mean_nitrate_surface_layer_conc
2.429352612,0.9,1,Obs_amm_io_ratio,dimensionless,Inshore_offshore_ratio_of_annual_mean_ammonia_surface_layer_conc
0.67,0.49,1,Obs_pfish_io_ratio,dimensionless,Inshore_offshore_ratio_of_annual_mean_planktivorous_fish_density_per_m2
0.39,0.31,1,Obs_dfish_io_ratio,dimensionless,Inshore_offshore_ratio_of_annual_mean_demersal_fish_density_per_m2
6.25E-07,3.00E-07,1,Obs_birddisc,mMN/m2/y,Annual_bycatch_of_birds
2.74E-05,5.00E-05,1,Obs_sealdisc,mMN/m2/y,Annual_bycatch_of_seals
0.00027545,1.00E-04,1,Obs_cetadisc,mMN/m2/y,Annual_bycatch_of_cetaceans
0.15,0.05,1,Obs_kelp_beachcast,dimensionless,Proportion_of_kelp_annual_nitrogen_uptake_exported_as_beachcast
8.38E-05,4.00E-05,1,Obs_Ctland_livewt,mMN/m2/y,Obs_cetacean_(Minke_whale)_landings_by_Norwegian_whalers
